"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
316, 495.79, 507.79, 719.46, 845.55, 453.37, 348.52, 5.69, 453.37, 0.02
317, 463.55, 507.91, 728.36, 853.72, 453.30, 342.59, 8.71, 453.30, 0.01
318, 491.67, 507.68, 718.54, 839.86, 453.33, 350.24, 11.39, 453.33, 0.02
319, 481.93, 507.70, 715.18, 848.44, 453.42, 338.35, 14.68, 453.42, 0.01
320, 491.25, 507.90, 718.96, 859.70, 453.36, 332.16, 11.94, 453.36, 0.02
321, 459.06, 507.62, 735.78, 831.43, 453.52, 347.12, 8.57, 453.52, 0.01
322, 468.94, 507.64, 740.45, 849.28, 453.26, 342.44, 5.80, 453.26, 0.01
323, 471.91, 507.91, 744.31, 828.31, 453.44, 332.07, 11.92, 453.44, 0.02
324, 468.71, 507.64, 742.17, 837.68, 453.34, 343.37, 11.59, 453.34, 0.02
325, 482.65, 508.04, 707.11, 837.41, 453.58, 343.92, 11.51, 453.58, 0.01
326, 482.94, 507.63, 738.77, 848.62, 453.65, 335.83, 14.73, 453.65, 0.01
327, 488.21, 507.74, 721.33, 859.93, 453.21, 332.07, 11.99, 453.21, 0.01
328, 489.80, 507.77, 725.26, 861.77, 453.60, 329.30, 9.04, 453.60, 0.04
329, 495.37, 507.75, 716.89, 846.38, 453.33, 341.35, 11.59, 453.33, 0.01
330, 488.55, 507.85, 726.50, 839.78, 453.49, 336.00, 11.79, 453.49, 0.02
331, 492.20, 507.64, 721.12, 837.68, 453.32, 343.66, 8.70, 453.32, 0.02
332, 481.85, 507.48, 743.94, 871.93, 453.24, 337.26, 8.81, 453.24, 0.02
333, 477.94, 507.81, 717.96, 818.94, 453.53, 339.69, 11.66, 453.53, 0.04
334, 492.83, 507.96, 720.93, 842.25, 453.32, 352.44, 8.45, 453.32, 0.01
335, 484.48, 507.77, 728.19, 865.43, 453.12, 333.24, 14.87, 453.12, 0.02
336, 483.28, 507.86, 724.19, 848.62, 453.16, 335.26, 8.84, 453.16, 0.02
337, 493.79, 507.88, 716.43, 870.02, 453.48, 333.19, 14.90, 453.48, 0.02
338, 494.10, 507.63, 719.92, 875.19, 453.48, 330.02, 15.04, 453.48, 0.01
339, 449.19, 507.51, 729.28, 859.93, 453.38, 329.82, 17.98, 453.38, 0.02
340, 491.48, 507.80, 731.73, 870.02, 453.33, 333.45, 11.92, 453.33, 0.01
341, 480.95, 507.77, 728.38, 822.54, 453.34, 353.01, 11.27, 453.34, 0.02
342, 477.83, 508.03, 730.12, 842.26, 453.45, 339.58, 8.74, 453.45, 0.02
343, 489.66, 507.85, 715.99, 873.28, 453.26, 324.98, 12.21, 453.26, 0.02
344, 498.20, 508.06, 718.60, 852.94, 453.36, 338.11, 8.82, 453.36, 0.02
345, 486.37, 507.66, 728.14, 845.34, 453.34, 339.85, 11.70, 453.34, 0.01
346, 493.13, 507.90, 729.28, 876.55, 453.62, 330.71, 9.01, 453.62, 0.02
347, 493.90, 507.81, 718.56, 851.99, 453.45, 343.04, 14.44, 453.45, 0.02
348, 479.59, 507.66, 722.10, 853.93, 453.49, 331.40, 11.99, 453.49, 0.01
349, 491.26, 507.70, 727.23, 822.54, 453.47, 353.29, 11.27, 453.47, 0.02
350, 494.97, 507.79, 712.97, 818.54, 453.41, 347.56, 11.41, 453.41, 0.01
351, 491.05, 507.88, 723.20, 842.11, 453.52, 342.02, 8.71, 453.52, 0.01
352, 440.60, 508.02, 742.37, 836.70, 453.61, 338.69, 11.74, 453.61, 0.01
353, 475.57, 507.76, 734.02, 834.66, 453.61, 343.19, 11.55, 453.61, 0.02
354, 477.39, 507.71, 717.08, 848.09, 453.57, 340.47, 11.66, 453.57, 0.02
355, 494.94, 507.99, 719.14, 852.14, 453.31, 334.05, 11.92, 453.31, 0.01
356, 485.06, 507.71, 724.30, 857.67, 453.60, 336.02, 8.87, 453.60, 0.01
357, 480.55, 507.95, 724.03, 841.18, 453.23, 338.56, 11.76, 453.23, 0.01
358, 489.57, 507.71, 720.36, 808.14, 453.51, 365.88, 5.42, 453.51, 0.02
359, 472.35, 507.94, 721.28, 862.92, 453.43, 331.27, 14.98, 453.43, 0.02
360, 496.74, 507.73, 719.04, 863.40, 453.57, 329.60, 15.09, 453.57, 0.01
361, 451.91, 507.70, 726.33, 873.56, 453.20, 324.92, 15.33, 453.20, 0.01
362, 489.19, 507.86, 731.77, 859.04, 453.46, 334.43, 11.81, 453.46, 0.02
363, 484.44, 507.81, 733.38, 834.66, 453.50, 343.29, 8.66, 453.50, 0.02
364, 492.94, 507.77, 717.44, 794.39, 453.55, 353.45, 11.23, 453.55, 0.02
365, 481.65, 507.58, 717.44, 869.50, 453.42, 335.52, 5.91, 453.42, 0.02
366, 485.64, 507.83, 718.65, 862.69, 453.47, 331.66, 11.94, 453.47, 0.01
367, 478.10, 507.82, 727.79, 840.43, 453.55, 344.22, 11.55, 453.55, 0.02
368, 476.88, 507.92, 727.46, 850.45, 453.37, 343.28, 8.65, 453.37, 0.02
369, 490.30, 507.98, 718.20, 858.61, 453.55, 337.65, 11.72, 453.55, 0.01
370, 493.15, 507.86, 721.52, 853.14, 453.52, 335.40, 14.76, 453.52, 0.01
371, 482.84, 507.83, 729.58, 851.00, 453.23, 340.48, 11.66, 453.23, 0.02
372, 463.83, 508.19, 738.02, 864.78, 453.55, 330.17, 12.05, 453.55, 0.02
373, 489.43, 508.09, 710.27, 847.06, 453.57, 338.10, 8.82, 453.57, 0.02
374, 493.15, 507.72, 721.03, 846.72, 453.68, 341.24, 8.76, 453.68, 0.01
375, 455.40, 508.14, 727.06, 861.31, 453.54, 331.51, 11.96, 453.54, 0.01
376, 462.40, 508.06, 725.27, 851.57, 453.81, 336.14, 11.79, 453.81, 0.02
377, 466.16, 508.16, 735.10, 846.38, 453.62, 342.73, 14.49, 453.62, 0.02
378, 460.26, 507.86, 722.73, 857.36, 453.72, 328.86, 9.06, 453.72, 0.02
379, 493.57, 507.89, 719.36, 873.26, 453.53, 338.29, 11.72, 453.53, 0.02
380, 497.50, 508.00, 716.70, 793.30, 453.50, 371.42, 10.72, 453.50, 0.02
381, 490.08, 508.00, 716.68, 845.50, 453.45, 337.68, 11.74, 453.45, 0.01
382, 489.19, 507.89, 730.98, 856.30, 453.56, 335.30, 8.89, 453.56, 0.01
383, 469.87, 508.18, 731.37, 845.34, 453.36, 339.59, 11.70, 453.36, 0.02
